arquivo,qnt_linhas_quarentena
C:\Users\vinil\Documents\GitHub\BigData\dados_brutos\2017\03\14\dados.csv,0
C:\Users\vinil\Documents\GitHub\BigData\dados_brutos\2017\03\15\dados.csv,2546
C:\Users\vinil\Documents\GitHub\BigData\dados_brutos\2017\03\16\dados.csv,4710
C:\Users\vinil\Documents\GitHub\BigData\dados_brutos\2017\03\17\dados.csv,797
C:\Users\vinil\Documents\GitHub\BigData\dados_brutos\2017\03\18\dados.csv,6686
C:\Users\vinil\Documents\GitHub\BigData\dados_brutos\2017\03\19\dados.csv,15388
C:\Users\vinil\Documents\GitHub\BigData\dados_brutos\2017\03\20\dados.csv,31440
C:\Users\vinil\Documents\GitHub\BigData\dados_brutos\2017\03\21\dados.csv,26557
